,target,output,question
0,bedroom,hallway,What is the bathroom east of?
1,bedroom,bedroom,What is west of the kitchen?
2,bathroom,bathroom,What is north of the garden?
3,bedroom,bathroom,What is south of the kitchen?
4,bedroom,The bedroom is east of the kitchen.,What is east of the kitchen?
5,garden,hallway,What is the bathroom west of?
6,kitchen,kitchen,What is east of the bedroom?
7,bathroom,"The bedroom. The text states ""The garden is west of the bedroom.",What is the garden south of?
8,kitchen,kitchen,What is south of the office?
9,office,garden,What is east of the hallway?
10,garden,The garden is north of the office.,What is north of the office?
11,garden,garden,What is south of the kitchen?
12,bathroom,bathroom,What is east of the kitchen?
13,garden,The garden is west of the kitchen.,What is west of the kitchen?
14,garden,The office.,What is north of the bedroom?
15,garden,The garden is east of the hallway.,What is east of the hallway?
16,hallway,hallway,What is east of the office?
17,office,office,What is south of the bathroom?
18,garden,The kitchen,What is the bedroom north of?
19,garden,The bedroom is west of the kitchen.,What is the kitchen west of?
20,garden,hallway,What is the office east of?
21,garden,The kitchen,What is the bathroom south of?
22,bathroom,bathroom,What is north of the bedroom?
23,bathroom,"The kitchen or the office, depending on the exact layout of the rooms.",What is the bedroom south of?
24,hallway,The bedroom is west of the hallway.,What is the bedroom west of?
25,office,office,What is east of the bathroom?
26,office,hallway,What is north of the bedroom?
27,hallway,office door,What is west of the bathroom?
28,garden,office,What is the bathroom north of?
29,garden,The garden is north of the office.,What is north of the office?
30,bedroom,bedroom,What is east of the kitchen?
31,kitchen,hallway,What is the bathroom east of?
32,bathroom,bathroom,What is north of the garden?
33,kitchen,"hallway
(The hallway is west of the bedroom, so the bedroom is",What is the bedroom west of?
34,bedroom,hallway,What is the kitchen south of?
35,garden,garden,What is the bathroom east of?
36,office,office,What is south of the hallway?
37,bedroom,hallway,What is north of the bathroom?
38,bedroom,office,What is the bathroom east of?
39,office,office,What is north of the bedroom?
40,bathroom,bathroom,What is south of the kitchen?
41,bedroom,bedroom,What is west of the office?
42,kitchen,The hallway is south of the garden.,What is the garden south of?
43,garden,The garden is south of the bedroom.,What is south of the bedroom?
44,garden,garden,What is the office south of?
45,hallway,bedroom,What is the office east of?
46,garden,The garden is south of the office.,What is south of the office?
47,garden,The garden is west of the bedroom.,What is west of the bedroom?
48,garden,Garden,What is east of the hallway?
49,garden,hallway,What is the office south of?
50,bedroom,garden,What is the hallway north of?
51,garden,The garden is north of the bathroom.,What is north of the bathroom?
52,hallway,kitchen,What is the bedroom north of?
53,bathroom,bathroom,What is east of the garden?
54,bathroom,The office is west of the bedroom.,What is west of the bedroom?
55,garden,The garden is east of the hallway.,What is east of the hallway?
56,hallway,The kitchen.,What is the bedroom east of?
57,kitchen,kitchen,What is west of the hallway?
58,hallway,hallway,What is south of the bedroom?
59,kitchen,The bedroom is north of the garden.,What is the garden north of?
60,hallway,The kitchen,What is the bedroom north of?
61,bedroom,The office is south of the hallway.,What is south of the hallway?
62,kitchen,The hallway is north of the kitchen.,What is the hallway north of?
63,hallway,hallway,What is west of the bedroom?
64,bedroom,office,What is east of the garden?
65,office,kitchen,What is the bedroom north of?
66,bathroom,hallway,What is the bedroom north of?
67,office,bedroom,What is the garden south of?
68,kitchen,,What is the bathroom west of?
69,garden,bathroom,What is the hallway east of?
70,bathroom,bathroom,What is south of the bedroom?
71,kitchen,The kitchen,What is the garden south of?
72,garden,hallway,What is the bedroom south of?
73,bathroom,bathroom,What is north of the office?
74,bathroom,office,What is the hallway north of?
75,bedroom,bedroom,What is south of the hallway?
76,bedroom,The bathroom,What is the hallway east of?
77,bathroom,The garden is north of the office. This can be inferred from the,What is north of the office?
78,kitchen,kitchen,What is east of the garden?
79,hallway,The hallway is south of the kitchen.,What is the kitchen south of?
80,garden,The garden.,What is west of the office?
81,office,The answer is,What is the bedroom west of?
82,kitchen,The bathroom is south of the hallway.,What is the hallway south of?
83,garden,The garden is west of the office. There is no other location given as,What is the office west of?
84,bathroom,Bathroom,What is north of the hallway?
85,office,The office is west of the garden.,What is west of the garden?
86,office,hallway,What is west of the garden?
87,garden,The garden is east of the bathroom.,What is east of the bathroom?
88,bathroom,bathroom,What is north of the office?
89,kitchen,"The hallway. The text states ""The hallway is west of the bedroom.""",What is the bedroom west of?
90,office,office,What is the bathroom south of?
91,office,Temple of Isis,What is east of the bedroom?
92,bedroom,The bedroom is south of the office.,What is south of the office?
93,bathroom,"bathroom
(The sentence ""The bathroom is east of the garden."" implies",What is the garden west of?
94,garden,hallway,What is the bedroom west of?
95,hallway,hallway,What is north of the garden?
96,bedroom,bathroom,What is the kitchen west of?
97,kitchen,office,What is west of the bedroom?
98,bathroom,office,What is the kitchen north of?
99,garden,The office is north of the garden.,What is the office north of?
100,bedroom,The bedroom is east of the hallway.,What is east of the hallway?
101,kitchen,garden,What is south of the hallway?
102,bedroom,"bathroom
<explanation>
The question asks for the location that",What is the office west of?
103,bathroom,The bathroom is north of the kitchen.,What is the kitchen north of?
104,hallway,,What is west of the bedroom?
105,bedroom,bedroom,What is west of the kitchen?
106,office,office,What is the kitchen south of?
107,bathroom,bathroom,What is west of the garden?
108,bedroom,The hallway,What is the bathroom south of?
109,bathroom,"The answer is: garden. This is based on the context you provided,",What is the kitchen west of?
110,garden,"The bathroom. (This is based on the statement ""The hallway is east",What is the hallway west of?
111,hallway,The hallway is south of the kitchen.,What is the kitchen south of?
112,office,The office is south of the bathroom.,What is south of the bathroom?
113,hallway,"The bedroom
(because it is mentioned that ""The bedroom is west of",What is the office west of?
114,bedroom,"The garden

Explanation:
From the context, we know",What is the kitchen north of?
115,office,hallway,What is the garden east of?
116,bedroom,The location south of the hallway is the office. This is stated in the,What is the hallway south of?
117,bedroom,bedroom,What is the garden west of?
118,hallway,kitchen,What is north of the office?
