,target,output,question
0,hallway,"Answer: hallway
</example>

<context>
The lawyer’s",Where is John? 
1,bathroom,"Answer: bathroom
</context>

<context>
The first of these",Where is Mary? 
2,kitchen,"Answer: The most recent location of Sandra is kitchen.
</example>",Where is Sandra? 
3,hallway,"hallway (Document[119]):""Sandra journeyed to the hall",Where is Sandra? 
4,kitchen,"Answer: bathroom
</example>

<context>
The next four years",Where is Sandra? 
5,hallway,"Answer: The most recent location of Sandra is hallway.
</example>",Where is Sandra? 
6,garden,"The most recent location of Sandra is garden.
</context>

<context",Where is Sandra? 
7,hallway,"hallway (Document[119]):""Daniel journeyed to the hallway",Where is Daniel? 
8,office,"The most recent location of Sandra is hallway.
</context>

<",Where is Sandra? 
9,office,"Answer: The most recent location of Daniel is hallway.
</context>",Where is Daniel? 
10,kitchen,"Answer: The most recent location of Mary is office.
</context>

<",Where is Mary? 
11,garden,"Answer: The most recent location of Mary is garden.
</example>

<",Where is Mary? 
12,office,"The most recent location of Daniel is garden. (Answer)

<context>",Where is Daniel? 
13,bedroom,"Answer: The most recent location of Mary is garden.
</context>

<",Where is Mary? 
14,bedroom,"Answer: bedroom
</context>

<context>
John went to the",Where is Mary? 
15,kitchen,"Answer: The most recent location of John is hallway.
</example>",Where is John? 
16,garden,"Answer: garden
</example>

<context>
The most important thing in",Where is John? 
17,kitchen,"Answer: The most recent location of John is hallway.
</context>",Where is John? 
18,office,"The most recent location of Daniel is hallway.
</context>

<context",Where is Daniel? 
19,kitchen,"The most recent location of John is hallway.
</context>

<context",Where is John? 
20,hallway,"Answer: The most recent location of Mary is hallway.
</context>",Where is Mary? 
21,office,"The most recent location of John is office.
</context>

<context>",Where is John? 
22,office,"Answer: office
</example>

<context>
The natives may destroy",Where is John? 
23,hallway,"Answer: The most recent location of Sandra is hallway.
</example>",Where is Sandra? 
24,bedroom,"Answer: The most recent location of Daniel is office.
</example>

<",Where is Daniel? 
25,bedroom,"Answer: The most recent location of Sandra is bedroom.
</context>",Where is Sandra? 
26,bedroom,"Answer: The most recent location of Mary is bedroom.
</context>",Where is Mary? 
27,kitchen,"Answer: The most recent location of Daniel is bathroom.
</context>",Where is Daniel? 
28,kitchen,"The most recent location of Daniel is bedroom.
</context>

<context",Where is Daniel? 
29,kitchen,"The most recent location of Daniel is bathroom.
</context>

<context",Where is Daniel? 
30,hallway,"Answer: hallway
</context>

<context>",Where is Sandra? 
31,office,"Answer: office
</example>

<context>
""Have to amuse",Where is John? 
32,kitchen,"The most recent location of Sandra is bathroom.
</context>

<",Where is Sandra? 
33,kitchen,"Answer: bedroom
</example>

<context>
Charlie went to",Where is Sandra? 
34,bathroom,"The most recent location of Sandra is bathroom.
</example>

<",Where is Sandra? 
35,office,"The most recent location of Mary is office.
</context>

<context>",Where is Mary? 
36,bathroom,"The most recent location of Mary is bathroom.
</context>

<context",Where is Mary? 
37,garden,"Answer: The most recent location of Mary is office.
</context>

<",Where is Mary? 
38,kitchen,"Answer: The most recent location of Sandra is hallway.
</example>",Where is Sandra? 
39,bedroom,"The most recent location of Daniel is hallway.
</context>

<context",Where is Daniel? 
40,bathroom,bathroom (Answer: The most recent location of Sandra is bathroom.),Where is Sandra? 
41,garden,"Answer: garden
</example>

<context>
""I'm going",Where is Daniel? 
42,bathroom,"the office (Document[109]):""In passing out, they discovered the",Where is Sandra? 
43,hallway,"The most recent location of Daniel is hallway.
</context>

<context",Where is Daniel? 
44,garden,"Answer: The most recent location of Daniel is garden.
</context>

<",Where is Daniel? 
45,kitchen,"The most recent location of Mary is hallway.
</context>

<context",Where is Mary? 
46,hallway,"The most recent location of Daniel is hallway.
</context>

<context",Where is Daniel? 
47,bathroom,"The most recent location of Sandra is bathroom.
</context>

<",Where is Sandra? 
48,office,"Answer: The most recent location of John is office.
</context>

<",Where is John? 
49,bedroom,"The most recent location of John is office.
</context>

<context>",Where is John? 
50,bedroom,"Answer: bedroom
</example>

<context>
""I am glad",Where is John? 
51,office,"Answer: office
</example>

<context>
""I'm so",Where is John? 
52,garden,"The most recent location of John is hallway.
</context>

<context",Where is John? 
53,garden,"Answer: The most recent location of John is hallway.
</context>",Where is John? 
54,kitchen,"The most recent location of Daniel is bedroom.
</context>

<context",Where is Daniel? 
55,bedroom,"Answer: The most recent location of Mary is bedroom.
</context>",Where is Mary? 
56,kitchen,"Answer: The most recent location of Mary is garden.
</context>

<",Where is Mary? 
57,hallway,"Answer: The most recent location of Mary is hallway.
</context>",Where is Mary? 
58,garden,"Answer: The most recent location of Daniel is bathroom.
</example>",Where is Daniel? 
59,hallway,"The most recent location of Sandra is office.
</context>

<context",Where is Sandra? 
60,hallway,"The most recent location of Sandra is hallway.
</context>

<",Where is Sandra? 
61,office,"The most recent location of Daniel is office.
</context>

<context>",Where is Daniel? 
62,bathroom,"The most recent location of Sandra is bathroom.
</context>

<",Where is Sandra? 
63,garden,"Answer: garden
</context>

<context>
""I am a man",Where is Daniel? 
64,garden,"Answer: hallway
</context>

<context>
Charlie went to",Where is Daniel? 
65,kitchen,"Answer: The most recent location of John is kitchen.
</context>

<",Where is John? 
66,kitchen,"Answer: The most recent location of John is hallway.
</context>",Where is John? 
67,bathroom,"The most recent location of Daniel is hallway.
</context>

<context",Where is Daniel? 
68,office,"Answer: office
</context>

<context>
Mary went to the",Where is Daniel? 
69,office,"The most recent location of Daniel is hallway.
</context>

<context",Where is Daniel? 
70,garden,"Answer: The most recent location of Mary is garden.
</example>

<",Where is Mary? 
71,hallway,"The most recent location of Sandra is hallway.
</context>

<",Where is Sandra? 
72,garden,"Answer: The most recent location of Mary is garden.
</context>

<",Where is Mary? 
73,bedroom,"Answer: bedroom
</example>

<context>
""I'm",Where is Mary? 
74,bathroom,"Answer: The most recent location of Mary is bathroom.
</example>",Where is Mary? 
75,kitchen,"Answer: The most recent location of Daniel is kitchen.
</example>

<",Where is Daniel? 
76,kitchen,"The most recent location of John is hallway.
</context>

<context",Where is John? 
