,target,output,question
0,"w,n","s,e",How do you go from the garden to the hallway?
1,"e,e","n,e",How do you go from the office to the hallway?
2,"n,n","n,e",How do you go from the office to the bedroom?
3,"w,n","s,e",How do you go from the bedroom to the garden?
4,"w,w","w,s",How do you go from the hallway to the kitchen?
5,"w,w","s,w",How do you go from the bedroom to the bathroom?
6,"w,s","s,w",How do you go from the office to the kitchen?
7,"w,n","n,w",How do you go from the bathroom to the kitchen?
8,"s,s","s,e",How do you go from the office to the garden?
9,"w,w","w,s",How do you go from the garden to the hallway?
10,"e,e","s,e",How do you go from the kitchen to the office?
11,"s,e","e,s",How do you go from the office to the kitchen?
12,"e,n","s,e",How do you go from the bedroom to the office?
13,"w,n","s,e",How do you go from the kitchen to the garden?
14,"n,e","s,e",How do you go from the bathroom to the hallway?
15,"e,s","s,e",How do you go from the office to the kitchen?
16,"w,w","e,s",How do you go from the garden to the bedroom?
17,"s,w","w,n",How do you go from the office to the hallway?
18,"n,n","n,w",How do you go from the bathroom to the hallway?
19,"s,s","s,e",How do you go from the bedroom to the kitchen?
20,"s,w","s,w",How do you go from the kitchen to the bathroom?
21,"n,e","n,w",How do you go from the bathroom to the hallway?
22,"s,e","s,e",How do you go from the kitchen to the garden?
23,"w,n","w,n",How do you go from the hallway to the bathroom?
24,"w,w","n,e",How do you go from the kitchen to the bedroom?
25,"w,n","e,n",How do you go from the office to the garden?
26,"e,e","e,n",How do you go from the bathroom to the office?
27,"s,e","s,w",How do you go from the bedroom to the office?
28,"e,n","s,e",How do you go from the kitchen to the hallway?
29,"s,s","s,e",How do you go from the bathroom to the garden?
30,"n,e","s,e",How do you go from the bathroom to the kitchen?
31,"s,e","s,e",How do you go from the bathroom to the office?
32,"s,w","n,e",How do you go from the kitchen to the bedroom?
33,"n,n","n,n",How do you go from the hallway to the bathroom?
34,"n,e","e,n",How do you go from the office to the garden?
35,"n,e","w,n",How do you go from the kitchen to the bathroom?
36,"s,e","n,e",How do you go from the kitchen to the hallway?
37,"w,n","n,e",How do you go from the bedroom to the office?
38,"s,w","n,w",How do you go from the garden to the bathroom?
39,"s,s","s,e",How do you go from the garden to the kitchen?
40,"e,n","w,n",How do you go from the hallway to the kitchen?
41,"n,n","s,n",How do you go from the bedroom to the bathroom?
42,"s,s","n,e",How do you go from the bedroom to the garden?
43,"e,n","s,e",How do you go from the garden to the office?
44,"w,s","w, s",How do you go from the kitchen to the hallway?
45,"e,s","n,w",How do you go from the hallway to the bedroom?
46,"n,w","s,w",How do you go from the bathroom to the kitchen?
